"x","y","z"
"6350 W 3rd StLos Angeles, CA 90036",-118.3607698,34.0701952
"788 S Grand AveLos Angeles, CA 90017",-118.2575376,34.0458371
"11666 National BlvdLos Angeles, CA 90064",-118.4383641,34.0228467
"11737 San Vicente BlvdLos Angeles, CA 90049",-118.4673263,34.0536203
"1050 Gayley AveLos Angeles, CA 90024",-118.4469309,34.0611873
"2520 Glendale BlvdLos Angeles, CA 90039",-118.2584182,34.1029234
"7871 Santa Monica BlvdWest Hollywood, CA 90046",-118.360773,34.0915196
"331 N Glendale AveGlendale, CA 91206",-118.2459665,34.1510829
"465 S Arroyo PkwyPasadena, CA 91105",-118.1478342,34.1378234
"12746 W Jefferson BlvdPlaya Vista, CA 90094",-118.4173063,33.9770366
"12905 Riverside DrSherman Oaks, CA 91423",-118.4142109,34.1579165
"3751 E Foothill BlvdPasadena, CA 91107",-118.072043,34.151033
"4520 N Sepulveda BlvdSherman Oaks, CA 91403",-118.4665963,34.151923
"760 S Sepulveda BlvdEl Segundo, CA 90245",-118.3906138,33.9067803
"2121 Cloverfield BlvdSanta Monica, CA 90404",-118.4655725,34.0221303
"500 Wilshire BlvdSanta Monica, CA 90401",-118.4968428,34.0198491
"225 Lincoln BlvdVenice, CA 90291",-118.4698155,34.0011237
"2201 Wilshire BlvdSanta Monica, CA 90403",-118.4813781,34.033296
"239 N Crescent DrBeverly Hills, CA 90210",-118.3985037,34.0692518
"405 N Pacific Coast HwyRedondo Beach, CA 90277",-118.3895084,33.8473733
"1425 Montana AveSanta Monica, CA 90403",-118.4947902,34.0329466
"6550 E Pacific Coast HwyLong Beach, CA 90803",-118.1093989,33.7547255
"19340 Rinaldi StPorter Ranch, CA 91326",-118.5549553,34.2734532
"2655 Pacific Coast HwyTorrance, CA 90505",-118.3310494,33.7925146
"21347 Ventura BlvdWoodland Hills, CA 91364",-118.5969982,34.1682042
"3301 E Imperial HwyBrea, CA 92823",-117.8513816,33.9103489
"18700 Ventura BlvdTarzana, CA 91356",-118.5412344,34.1704195
"24130 Valencia BlvdValencia, CA 91355",-118.5558802,34.4126364
"7881 Edinger Ave Ste 150Huntington Beach, CA 92647",-117.991241,33.7313371
"28710 Canwood StAgoura Hills, CA 91301",-118.750914,34.1451913
